iteration: 12200, loss: 0.0019, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 12300, loss: 0.0020, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 12400, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 12500, loss: 0.0018, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 12600, loss: 0.0018, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 12700, loss: 0.0019, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 12800, loss: 0.0018, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 12900, loss: 0.0018, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 13000, loss: 0.0018, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 13100, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 13200, loss: 0.0018, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 13300, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 13400, loss: 0.0018, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 13500, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 13600, loss: 0.0018, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 13700, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 13800, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 13900, loss: 0.0019, scmap loss: 0.0017, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 14000, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 14100, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 14200, loss: 0.0017, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 14300, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 14400, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 14500, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 14600, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 14700, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 14800, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 14900, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 15000, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 15100, loss: 0.0018, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 15200, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 15300, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 15400, loss: 0.0018, scmap loss: 0.0016, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 15500, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 15600, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 15700, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 15800, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 15900, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 16000, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 16100, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 16200, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 16300, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 16400, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 16500, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 16600, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 16700, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 16800, loss: 0.0017, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 16900, loss: 0.0016, scmap loss: 0.0015, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 17000, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 17100, loss: 0.0015, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 17200, loss: 0.0016, scmap loss: 0.0014, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
